src_ip,dst_ip,protocol,src_port,dst_port,timestamp,length,ttl,flags
110.71.87.27,203.78.135.92,TCP,14897,443,1641013200.097911,40,118,16
167.46.173.229,133.105.139.253,TCP,49171,22847,1641013200.098021,44,39,2
167.46.181.100,133.105.165.159,TCP,30592,10042,1641013200.098023,44,41,2
89.247.69.180,163.45.72.73,TCP,53467,14100,1641013200.098033,40,246,2
162.113.225.24,133.105.13.23,TCP,3186,1433,1641013200.098175,44,40,2
64.190.198.96,133.105.61.253,UDP,24392,1900,1641013200.098206,125,54,
167.46.173.231,163.45.227.135,TCP,3933,57585,1641013200.098242,44,39,2
43.163.188.250,133.105.161.19,TCP,34327,98,1641013200.098258,52,46,2
203.78.135.92,110.71.87.27,TCP,443,14446,1641013200.09837,1440,62,16
92.9.70.210,133.251.119.31,TCP,55071,1234,1641013200.098413,44,243,2
203.78.135.92,110.71.87.27,TCP,443,14446,1641013200.098414,1440,62,16
203.78.135.92,110.71.87.27,TCP,443,14446,1641013200.098419,1440,62,16
203.78.135.92,110.71.87.27,TCP,443,14446,1641013200.098448,1440,62,16
157.206.249.55,18.222.254.242,TCP,49480,443,1641013200.098519,52,57,16
92.72.196.221,133.251.187.180,TCP,49857,3161,1641013200.098569,40,243,2
89.247.69.149,202.250.252.109,TCP,53470,20988,1641013200.098572,40,246,2
203.78.135.92,110.71.87.27,TCP,443,14446,1641013200.098614,1440,62,16
203.78.135.92,110.71.87.27,TCP,443,14446,1641013200.098646,1440,62,16
203.78.135.92,219.74.193.63,TCP,873,33250,1641013200.098726,1500,62,16
203.78.135.92,219.74.193.63,TCP,873,33250,1641013200.098734,1500,62,16
157.206.196.247,8.7.188.3,TCP,55715,443,1641013200.098767,52,57,16
89.247.66.138,133.251.88.143,TCP,8080,5193,1641013200.098781,40,246,2
157.206.196.247,8.7.188.3,TCP,55715,443,1641013200.0988,52,57,16
203.78.135.92,119.126.125.12,TCP,80,57922,1641013200.098825,1500,62,16
203.78.135.92,119.126.125.12,TCP,80,57922,1641013200.098832,2960,62,16
203.78.135.92,119.126.125.12,TCP,80,57922,1641013200.098854,1500,62,16
